A Dream Within A Dream:Alan Parsons Project:Tales Of Mystery & Imagination
Aerials:System Of A Down:Toxicity
Bullet The Blue Sky:U2:Joshua Tree
Clint Eastwood:Gorillaz:Clint Eastwood
Flood:Jars Of Clay:Jars Of Clay
Goodbye Mr. Ed:Tin Machine:Oy Vey, Baby
Here Comes The Sun:Nina Simone:Anthology
In Repair:Our Lady Peace:Spiritual Machines
In The End:Linkin Park:Hybrid Theory
Is There Anybody Out There?:Pink Floyd:The Wall
Karma Police:Radiohead:OK Computer
Le Deserteur:Vian, Boris:Titres Chansons D'auteurs
Les Bourgeois:Brel, Jacques:Le Plat Pays
Mosh:Eminem:Encore
Mosquito Song:Queens Of The Stone Age:Songs For The Deaf
New Orleans Is Sinking:Tragically Hip, The:Up To Here
Pour un instant:Harmonium:Harmonium
Sweet Dreams:Marilyn Manson:Smells Like Children
Sweet Lullaby:Deep Forest:Essence of the forest
Yellow:Coldplay:Parachutes
